KAB_KOTA;IPM; Anggaran  ;IPG;PKKP;PPM;PPK;PPK_Makanan;Air Layak;IKK;PDRB;IKKe;Bekerja_Informal;Bekerja_Formal
BUOL;70.28;157.303.163.000;76.35;10.42;13.08;9051;53.96;82.47;90.82;7791;0.47;42.45;19.06
BURU;71.01;187.229.635.000;63.96;32.66;16.08;11261;51.82;91.64;100.55;3167;0.58;21.97;23.34
BURU SELATAN;67.09;118.529.218.000;61.8;33.01;14.91;8474;;73.64;106.08;1887;0.46;51.92;18.43
BUTON;68.88;238.601.247.000;76.77;12.43;13.99;8401;;98.09;99.31;5297;0.35;35.14;25.36
BUTON SELATAN;67;43.351.342.000;66.54;9.6;14.28;8386;55.11;97.75;98.8;3827;0.38;43.51;21.57
BUTON TENGAH;66.47;74.659.353.000;72.31;16.01;14.4;8434;54.32;100;103.09;3170;0.32;46.01;17
BUTON UTARA;70.6;56.311.256.000;77.55;12.12;14.09;8746;54.61;94.93;99.85;4274;0.94;44.18;20.54
CIAMIS;72.56;437.835.406.000;66.07;5.78;7.39;10085;55.55;91.11;99.55;43237;0.2;42.5;23.65
CIANJUR;67.24;822.897.121.000;63.11;5.37;10.14;9026;58.03;82.03;103.18;64404;0.41;41.32;20.2
CILACAP;72.38;885.956.225.000;69.97;10.9;10.68;11868;54.2;87.42;101.76;135991;0.35;42.49;21.49
CIREBON;71.44;631.240.135.000;75.09;5.65;11;11529;52.88;91.45;104.51;67196;0.36;39.97;22.47
DAIRI;73.92;157.281.675.000;63.27;6.72;7.1;11355;60.85;69.23;101.58;12694;0.15;60.96;13.75
DEIYAI;52.07;19.502.941.000;22.91;57.91;39.01;5509;63.67;33.74;180.72;1767;1.01;24.64;4.02
DELI SERDANG;76.92;776.853.777.000;54.79;7.46;3.44;13279;52.63;96.7;89.32;151451;0.12;37.36;7.06
DEMAK;74.57;439.093.401.000;66.22;7.59;11.89;11591;52.97;93.58;104.26;35459;0.56;64.79;
DHARMAS RAYA;74.06;133.316.329.000;50.22;7.51;5.32;12254;58.01;47.33;91.19;14328;0.15;47.98;33.19
DOGIYAI;57.68;21.767.402.000;52.97;57.88;30.03;6755;;45.38;172.02;1647;1.59;83.59;1.34
DOMPU;70.78;199.191.672.000;61.57;1.69;11.59;9971;62.18;92.79;108.9;9064;0.32;49.81;18.75
DONGGALA;67.45;196.035.867.000;71.29;10.82;15.3;9117;54.49;86.32;86.67;16527;0.75;42.75;27.98
EMPAT LAWANG;67.25;115.877.891.000;72.49;13.91;10.78;10889;58.94;74;89.46;6722;0.32;57;15.17
ENDE;69.11;276.459.107.000;61.01;12.75;22.57;10009;58.07;94.58;86.78;7885;1.18;55.9;21.55
ENREKANG;74.61;173.392.998.000;71.41;4.94;11.25;12138;52.82;61.08;97.92;10467;0.44;53.82;16.51
FAKFAK;70.39;547.276.308.000;77.09;20.76;20.86;8159;52.47;88.73;121.38;6311;1.35;28.55;26.74
FLORES TIMUR;66.29;189.206.156.000;55.03;13.45;11.25;8505;55.26;99.93;93.66;6446;0.25;53.66;19.67
GARUT;68.79;1.084.240.460.000;76.05;5.02;9.68;9168;59.78;84.3;102.23;78825;0.29;45.57;22.6
